Date,Year,Month,Quarter,Time_Index,Predicted Sales
2018-01-01,2018,1,1,48,31937.116702500032
2018-02-01,2018,2,1,49,44762.72830874985
2018-03-01,2018,3,1,50,57588.3399149999
2018-04-01,2018,4,2,51,46300.53700499982
2018-05-01,2018,5,2,52,59126.14861124987
2018-06-01,2018,6,2,53,71951.76021749992
2018-07-01,2018,7,3,54,60663.95730749983
2018-08-01,2018,8,3,55,73489.56891374988
2018-09-01,2018,9,3,56,86315.18051999994
2018-10-01,2018,10,4,57,75027.37760999985
2018-11-01,2018,11,4,58,87852.9892162499
2018-12-01,2018,12,4,59,100678.60082249995
